Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.9600980392156863,0.9483333333333334,0.7676950998185118,0.94,0.8451548451548452,0.9896575163398693
Decision Tree,0.9745588235294118,0.947,0.7927565392354124,0.8755555555555555,0.8321013727560718,0.959124183006536
Random Forest,0.9916666666666667,0.959,0.8413361169102297,0.8955555555555555,0.8675995694294941,0.9886326797385621
Gradient Boosting,0.9999509803921569,0.98,0.9295154185022027,0.9377777777777778,0.9336283185840708,0.9972139433551198
XGBoost,0.9999509803921569,0.98,0.9166666666666666,0.9533333333333334,0.934640522875817,0.9971686274509804
LightGBM,1.0,0.982,0.9439461883408071,0.9355555555555556,0.9397321428571429,0.9972610021786492
Neural Network,0.9979411764705882,0.961,0.8792710706150342,0.8577777777777778,0.8683914510686164,0.9860906318082789
